NNR HeNR MRCI1
1.8 5.6000000000000005 -3033.7262641152606
1.8 5.7 -3033.726122616001
1.8 5.800000000000001 -3033.7259974435788
1.8 5.9 -3033.7258885979945
1.9 1.65 -3021.076360910994
1.9 1.75 -3025.941897311794
1.9 1.85 -3028.5118939432964
1.9 1.95 -3030.023557746281
1.9 2.05 -3031.040428570561
1.9 2.15 -3031.7907447220637
1.9 2.25 -3032.3601595122936
1.9 2.3499999999999996 -3032.7893485361415
1.9 2.45 -3033.1064021178004
1.9 2.55 -3033.3345805586578
1.9 2.65 -3033.4936611013977
1.9 2.75 -3033.599796430746
1.9 2.8499999999999996 -3033.6652398383667
1.9 2.95 -3033.697996916992
1.9 3.05 -3033.70101193968
1.9 3.1500000000000004 -3033.6697895837947
1.9 3.25 -3033.5844029439722
1.9 3.3499999999999996 -3033.353127846239
1.9 3.45 -3033.2257649067933
1.9 3.55 -3033.235844007909
1.9 3.6500000000000004 -3033.2416781312327
1.9 3.75 -3033.2457489560893
1.9 3.8499999999999996 -3033.2481190686894
1.9 3.95 -3033.249259226186
1.9 4.05 -3033.2496265800332
1.9 4.15 -3033.249531340147
1.9 4.25 -3033.2491857554164
1.9 4.35 -3033.2487204405434
1.9 4.45 -3033.248219750855
1.9 4.55 -3033.2477190611667
1.9 4.65 -3033.2472510251537
1.9 4.75 -3033.246815642816
1.9 4.85 -3033.246421077573
1.9 4.95 -3033.246061887144
1.9 5.05 -3033.24574351381
1.9 5.15 -3033.245441467313
1.9 5.25 -3033.245169353352
1.9 5.3500000000000005 -3033.244919008508
1.9 5.45 -3033.24469587506
1.9 5.55 -3033.2444917895896
1.9 5.65 -3033.244306752096
1.9 5.75 -3033.244143483719
1.9 5.8500000000000005 -3033.2439938210405
2 1.7 -3021.168898705711
2 1.8 -3026.0630887066045
2 1.9 -3028.6168999997067
2 2 -3030.0721355305986
2 2.1 -3031.0034129084456
2 2.2 -3031.6593708228324
2 2.3 -3032.145926911938
2 2.4 -3032.512279379912
2 2.5 -3032.7871199228007
2 2.6 -3032.989760468418
2 2.7 -3033.1349006129362
2 2.8 -3033.234603168247
2 2.9 -3033.2987621979714
2 3 -3033.3347002888004
2 3.1 -3033.3462869012596
2 3.2 -3033.332006360586
2 3.3 -3033.278546851808
2 3.4 -3033.1279290532552
2 3.5 -3032.8070441070254
2 3.6 -3032.8382719051897
2 3.7 -3032.8522830530414
2 3.8 -3032.8596981584787
2 3.9 -3032.8636002726794
2 4 -3032.8655622143383
2 4.1 -3032.866394883059
2 4.2 -3032.8665853628318
2 4.3 -3032.866422094455
2 4.4 -3032.866087394283
2 4.5 -3032.865681944481
2 4.6 -3032.8652465621435
2 4.7 -3032.8648139009456
2 4.8 -3032.864408451144
2 4.9 -3032.864030212738
2 5 -3032.863681906868
2 5.1 -3032.863363533533
2 5.2 -3032.863072371595
