"""HeNR (Jacobi)"" 	NNR 	MRCI1"
"3.6 	3.6 	-3027.9658374154783"
"3.6500000000000004 	3.7 	-3027.9688252267697"
"3.7 	3.8 	-3027.9716198371493"
"3.75 	3.9 	-3027.974223967756"
"3.8 	4 	-3027.9766512242886"
"2.25 	0.7 	-2981.2755062808837"
"2.3 	0.8 	-3005.28617552032"
"2.35 	0.9 	-3018.402190891802"
"2.4 	1 	-3025.5323059354178"
"2.45 	1.1 	-3029.279394091436"
"2.5 	1.2 	-3031.009902826416"
"2.55 	1.3 	-3031.5917749937803"
"2.65 	1.5 	-3031.6624184991956"
"2.7 	1.6 	-3031.4125716236244"
"2.75 	1.7 	-3031.127853343951"
"2.8 	1.8 	-3030.844294269751"
"2.8499999999999996 	1.9 	-3030.5276270899167"
"2.9 	2 	-3030.259725453033"
"2.95 	2.1 	-3030.0789628698803"
"3 	2.2 	-3029.9374690524396"
"3.0999999999999996 	2.4 	-3029.719992853669"
"3.15 	2.5 	-3029.6365028481546"
"3.2 	2.6 	-3029.56683078958"
"3.3 	2.8 	-3027.9780662168855"
"3.4 	3 	-3027.9894188113385"
"3.45 	3.1 	-3027.9945590440616"
"3.5 	3.2 	-3027.9993700188925"
"3.55 	3.3 	-3028.0038816683655"
"3.5999999999999996 	3.4 	-3028.00810759818"
"3.65 	3.5 	-3028.0120614140333"
"3.7 	3.6 	-3028.015756721624"
"3.75 	3.7 	-3028.0192044055098"
"3.8 	3.8 	-3028.0224262348074"
"3.8499999999999996 	3.9 	-3028.0254330940766"
"3.9 	4 	-3028.028235867875"
"3.9499999999999997 	4.1 	-3028.0308563253197"
"4 	4.2 	-3028.0332999086895"
"2.35 	0.7 	-2981.175849984947"
"2.4 	0.8 	-3005.210443483834"
"2.45 	0.9 	-3018.3308943128804"
"2.5 	1 	-3025.4885391259304"
"2.55 	1.1 	-3029.067920726645"
"2.6 	1.2 	-3030.8725560257403"
"2.65 	1.3 	-3031.6214136464127"
"2.7 	1.4 	-3031.7786138816823"
"2.75 	1.5 	-3031.6632974272898"
"2.8 	1.6 	-3031.4304114149077"
"2.85 	1.7 	-3031.1579491480375"
"2.9 	1.8 	-3030.88233035922"
"2.95 	1.9 	-3030.5694183520473"
"3 	2 	-3030.291067539061"
"3.1 	2.2 	-3029.953602689187"
"3.15 	2.3 	-3029.828868370604"
"3.2 	2.4 	-3029.7232691057593"
"3.25 	2.5 	-3029.6346198195447"
"3.3 	2.6 	-3029.560915032068"
"3.35 	2.7 	-3029.4998635437782"
"3.45 	2.9 	-3029.4074209889473"
"3.55 	3.1 	-3028.0263337912875"
"3.6 	3.2 	-3028.031634571248"
"3.65 	3.3 	-3028.0365924876173"
"3.7 	3.4 	-3028.0412238672334"
"3.75 	3.5 	-3028.0455504792135"
"3.8 	3.6 	-3028.0495913715345"
"3.85 	3.7 	-3028.053360149894"
"3.9 	3.8 	-3028.056884025689"
"3.95 	3.9 	-3028.060171162338"
"4 	4 	-3028.0632406078184"
"2.45 	0.7 	-2981.004235873163"
"2.5500000000000003 	0.9 	-3018.422515083549"
"2.6 	1 	-3025.5883341999875"
"2.6500000000000004 	1.1 	-3029.1979558251883"
"2.7 	1.2 	-3030.776907968449"
"2.8 	1.4 	-3031.703861455456"
"2.85 	1.5 	-3031.615750954884"
"2.9000000000000004 	1.6 	-3031.4074885348327"
"2.95 	1.7 	-3031.154904192814"
"3.05 	1.9 	-3030.590705827216"
"3.1 	2 	-3030.3066787170033"
"3.1500000000000004 	2.1 	-3030.1129771150054"
"3.2 	2.2 	-3029.959238169319"
"3.25 	2.3 	-3029.8296057994385"
"3.3 	2.4 	-3029.7195384233537"
"3.35 	2.5 	-3029.6271557335945"
"3.5 	2.8 	-3029.4357262831704"
"3.55 	2.9 	-3029.392900987988"
"3.6 	3 	-3029.3575914804087"
"3.6500000000000004 	3.1 	-3029.3285895744452"
"3.7 	3.2 	-3028.0529873537675"
"3.75 	3.3 	-3028.0582554800526"
"3.8 	3.4 	-3028.0631753004677"
"3.85 	3.5 	-3028.0677658629893"
"3.9000000000000004 	3.6 	-3028.0720516578754"
"4 	3.8 	-3028.079785136647"
"4.05 	3.9 	-3028.083273637627"
"4.1 	4 	-3028.0865362840195"
"4.15 	4.1 	-3028.0895839603827"
"4.2 	4.2 	-3028.092438435833"
"4.25 	4.3 	-3028.0951078737908"
"2.5500000000000003 	0.7 	-2981.036375253097"
"2.6 	0.8 	-3005.03387417682"
"2.6500000000000004 	0.9 	-3018.4739282953406"
"2.7 	1 	-3025.649004728732"
"2.75 	1.1 	-3029.267178895727"
"2.8000000000000003 	1.2 	-3030.8689124198027"
"2.85 	1.3 	-3031.360040023453"
"2.9000000000000004 	1.4 	-3031.577927114305"
"2.95 	1.5 	-3031.5189518555376"
"3 	1.6 	-3031.340763470456"
"3.0500000000000003 	1.7 	-3031.1162395200954"
"3.1 	1.8 	-3030.876390111451"
"3.1500000000000004 	1.9 	-3030.5938650703033"
"3.2 	2 	-3030.3090787621395"
"3.25 	2.1 	-3030.112854663723"
"3.3000000000000003 	2.2 	-3029.9557551106186"
"3.35 	2.3 	-3029.82254716329"
"3.4000000000000004 	2.4 	-3029.709230746511"
"3.45 	2.5 	-3029.6143146757745"
"3.5500000000000003 	2.7 	-3029.4722657458533"
"3.6 	2.8 	-3029.4200878938314"
"3.6500000000000004 	2.9 	-3029.377210896997"
"3.7 	3 	-3029.3418469666253"
"3.75 	3.1 	-3029.3126926768437"
"3.8000000000000003 	3.2 	-3029.288724879159"
"3.85 	3.3 	-3029.2690564820577"
"3.9000000000000004 	3.4 	-3028.077415024047"
"3.95 	3.5 	-3028.0821960663416"
"4 	3.6 	-3028.086656014162"
"4.050000000000001 	3.7 	-3028.0908166366257"
"4.15 	3.9 	-3028.0983460299267"
"4.2 	4 	-3028.1017447332997"
"4.25 	4.1 	-3028.1049230243643"
"2.65 	0.7 	-2981.050361910692"
"2.6999999999999997 	0.8 	-3005.039691973306"
"2.8 	1 	-3025.6869292514766"
"2.8499999999999996 	1.1 	-3029.308959273299"
"2.9 	1.2 	-3030.9188752641817"
"2.9499999999999997 	1.3 	-3031.3943590362146"
"3 	1.4 	-3031.4091021706213"
"3.05 	1.5 	-3031.3749328205386"
"3.0999999999999996 	1.6 	-3031.2256374958365"
"3.15 	1.7 	-3031.033269252247"
"3.1999999999999997 	1.8 	-3030.8220870493938"
"3.25 	1.9 	-3030.5773804065457"
"3.3499999999999996 	2.1 	-3029.938739824637"
"3.4 	2.2 	-3029.7713870174825"
"3.4499999999999997 	2.3 	-3029.805629838335"
"3.5 	2.4 	-3029.6900603179583"
"3.55 	2.5 	-3029.5937727928585"
"3.5999999999999996 	2.6 	-3029.515243424854"
"3.65 	2.7 	-3029.451957880944"
"3.6999999999999997 	2.8 	-3029.400898417302"
"3.8 	3 	-3029.3249786221827"
"3.8499999999999996 	3.1 	-3029.296580809213"
"3.9 	3.2 	-3029.2730619995637"
"3.9499999999999997 	3.3 	-3029.2536303416086"
"4 	3.4 	-3029.2376028293056"
"4.05 	3.5 	-3028.0913581434083"
"4.1 	3.6 	-3028.095945984791"
"4.15 	3.7 	-3028.1002290585366"
"4.199999999999999 	3.8 	-3028.1042372971824"
"4.25 	3.9 	-3028.107978864146"
"4.3 	4 	-3028.1114782496843"
"2.75 	0.7 	-2981.057069519831"
"2.8 	0.8 	-3005.041814462202"
"2.9 	1 	-3025.7105759546876"
"2.95 	1.1 	-3029.3346250621003"
"3 	1.2 	-3030.9481465629665"
"3.05 	1.3 	-3031.4389993315167"
"3.15 	1.5 	-3031.2001921193432"
"3.2 	1.6 	-3031.058232987029"
"3.25 	1.7 	-3030.8866297598033"
"3.3 	1.8 	-3030.6903675654326"
"3.3499999999999996 	1.9 	-3030.5334122327276"
"3.4 	2 	-3030.0160174684215"
"3.45 	2.1 	-3029.809480250883"
"3.5 	2.2 	-3029.6487289284223"
"3.55 	2.3 	-3029.7691774521195"
"3.65 	2.5 	-3029.5567816210005"
"3.7 	2.6 	-3029.479914869297"
"3.75 	2.7 	-3029.41947019514"
"3.8 	2.8 	-3029.372013520342"
"3.8499999999999996 	2.9 	-3029.3341434203894"
"3.9 	3 	-3029.303195899605"
"3.95 	3.1 	-3029.277429428638"
"4 	3.2 	-3029.255796368738"
"4.05 	3.3 	-3029.237635482981"
"4.1 	3.4 	-3029.2224215914216"
"4.15 	3.5 	-3028.8735796568385"
"4.2 	3.6 	-3028.8615930368564"
"4.25 	3.7 	-3028.1060795086983"
"4.3 	3.8 	-3028.110174823811"
"4.35 	3.9 	-3028.113995303824"
"4.4 	4 	-3028.1175708812716"
"2.85 	0.7 	-2981.0597035829733"
"2.9 	0.8 	-3005.0417083377574"
"2.95 	0.9 	-3018.5253142957354"
"3 	1 	-3025.725120445903"
"3.05 	1.1 	-3029.350317874231"
"3.1 	1.2 	-3030.966274795049"
"3.15 	1.3 	-3031.4558785605177"
"3.2 	1.4 	-3031.552174249036"
"3.25 	1.5 	-3031.420890147412"
"3.3 	1.6 	-3031.1974682585933"
"3.35 	1.7 	-3030.800304326816"
"3.4 	1.8 	-3030.409559563378"
"3.45 	1.9 	-3030.168703333078"
"3.5 	2 	-3029.935128872375"
"3.55 	2.1 	-3029.748951221398"
"3.6 	2.2 	-3029.594692538047"
"3.65 	2.3 	-3029.459408361196"
"3.7 	2.4 	-3029.552961140988"
"3.75 	2.5 	-3029.46126145727"
"3.8 	2.6 	-3029.389085950255"
